domain,subject,partition,region,fp_voxels,fn_voxels
CAMRI,079,axis_halves,right,2721,4462
CAMRI,079,axis_halves,dorsal,2783,2147
CAMRI,079,axis_halves,ventral,686,6105
CAMRI,079,axis_halves,rostral,2889,3658
CAMRI,079,axis_halves,caudal,580,4594
CAMRI,079,center,center,147,2201
CAMRI,079,brain_position,first 20%,1490,1388
CAMRI,079,brain_position,middle 60%,1588,6095
CAMRI,079,brain_position,last 20%,391,769
CAMRI,080,axis_halves,left,166,4394
CAMRI,080,axis_halves,right,1549,5531
CAMRI,080,axis_halves,dorsal,1562,2602
CAMRI,080,axis_halves,ventral,153,7323
CAMRI,080,axis_halves,rostral,1609,4177
CAMRI,080,axis_halves,caudal,106,5748
CAMRI,080,center,center,5,2398
CAMRI,080,brain_position,first 20%,1200,1833
CAMRI,080,brain_position,middle 60%,395,6377
CAMRI,080,brain_position,last 20%,85,1715
CAMRI,082,axis_halves,left,228,6635
CAMRI,082,axis_halves,right,86,5261
CAMRI,082,axis_halves,dorsal,235,4626
CAMRI,082,axis_halves,ventral,79,7270
CAMRI,082,axis_halves,rostral,55,5415
CAMRI,082,axis_halves,caudal,259,6481
CAMRI,082,center,center,3,2944
CAMRI,082,brain_position,first 20%,7,1672
CAMRI,082,brain_position,middle 60%,125,7711
CAMRI,082,brain_position,last 20%,182,2513
CAMRI,083,axis_halves,left,181,4774
CAMRI,083,axis_halves,right,214,4550
CAMRI,083,axis_halves,dorsal,110,3723
CAMRI,083,axis_halves,ventral,285,5601
CAMRI,083,axis_halves,rostral,64,5163
CAMRI,083,axis_halves,caudal,331,4161
CAMRI,083,center,center,120,3400
CAMRI,083,brain_position,first 20%,25,1673
CAMRI,083,brain_position,middle 60%,189,6447
CAMRI,083,brain_position,last 20%,181,1204
CAMRI,084,axis_halves,left,1012,4828
CAMRI,084,axis_halves,right,1241,4960
CAMRI,084,axis_halves,dorsal,1971,3551
CAMRI,084,axis_halves,ventral,282,6237
CAMRI,084,axis_halves,rostral,1924,6030
CAMRI,084,axis_halves,caudal,329,3758
CAMRI,084,center,center,54,3551
CAMRI,084,brain_position,first 20%,165,1365
CAMRI,084,brain_position,middle 60%,2004,6482
CAMRI,084,brain_position,last 20%,69,1941
CAMRI,085,axis_halves,left,1294,4641
CAMRI,085,axis_halves,right,1300,4959
CAMRI,085,axis_halves,dorsal,2257,3308
CAMRI,085,axis_halves,ventral,337,6292
CAMRI,085,axis_halves,rostral,2414,5545
CAMRI,085,axis_halves,caudal,180,4055
CAMRI,085,center,center,46,3198
CAMRI,085,brain_position,first 20%,557,1537
CAMRI,085,brain_position,middle 60%,1902,6069
CAMRI,085,brain_position,last 20%,135,1994
CAMRI,086,axis_halves,left,136,5071
CAMRI,086,axis_halves,right,346,5493
CAMRI,086,axis_halves,dorsal,212,3786
CAMRI,086,axis_halves,ventral,270,6778
CAMRI,086,axis_halves,rostral,132,5953
CAMRI,086,axis_halves,caudal,350,4611
CAMRI,086,center,center,48,3103
CAMRI,086,brain_position,first 20%,7,2208
CAMRI,086,brain_position,middle 60%,256,7296
CAMRI,086,brain_position,last 20%,219,1060
CAMRI,087,axis_halves,left,69,4468
CAMRI,087,axis_halves,right,274,6236
CAMRI,087,axis_halves,dorsal,141,3667
CAMRI,087,axis_halves,ventral,202,7037
CAMRI,087,axis_halves,rostral,173,5617
CAMRI,087,axis_halves,caudal,170,5087
CAMRI,087,center,center,58,2581
CAMRI,087,brain_position,first 20%,53,1890
CAMRI,087,brain_position,middle 60%,208,6635
CAMRI,087,brain_position,last 20%,82,2179
CAMRI,089,axis_halves,left,98,4992
CAMRI,089,axis_halves,right,155,6513
